Row Labels,Region,Chinook,Scokeye,Coho,Pink,Chum,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CI,30,"201,778",0,NA,NA,"201,808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CI,0,"148,478",0,NA,NA,"148,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CI,0,"254,223",0,NA,NA,"254,223",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CI,0,"138,961",0,NA,NA,"138,961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CI,0,"118,069",0,"66,581",NA,"184,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,CI,0,"209,311",0,"25,430",NA,"234,741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,CI,0,"209,789",0,"2,166,733",NA,"2,376,522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,CI,0,"218,624",0,"84,002",NA,"302,626",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,CI,4,"135,709",201,"211,822",246,"347,982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,CI,0,0,0,"1,487,837","311,007","1,798,844",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,KOD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,KOD,0,0,0,"13,000",0,"13,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,KOD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,KOD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,KOD,NA,NA,NA,"663,414",NA,"663,414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,KOD,NA,NA,NA,"190,300",NA,"190,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,KOD,NA,NA,NA,"130,000",NA,"130,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,KOD,NA,NA,NA,"335,600",NA,"335,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,KOD,NA,NA,"12,000","3,448,000","121,100","3,581,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,KOD,75,"15,000",600,"341,500","70,300","427,475",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,KOD,105,"8,737",0,"1,060,000","3,860","1,072,702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,KOD,70,"211,800","3,600","605,361","150,967","971,798",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
